Package             Version           
------------------- ------------------
acpi 1.7-2
acpid 2.0.32-1
alias-tips-git r101.29bf28c-1
alsa-firmware 1.2.1-1
alsa-utils 1.2.1-1
android-tools 29.0.5-2
android-udev 20191103-1
apparmor 2.13.3-5
ark 19.12.0-1
autoconf 2.69-6
automake 1.16.1-2
avahi 0.7+18+g1b5f401-3
b43-fwcutter 019-3
bash-completion 2.10-1
bat 0.12.1-1
bauh 0.8.0-1
binutils 2.33.1-2
bison 3.5-1
bluedevil 1:5.17.4-1
boost 1.71.0-4
btrfs-progs 5.4-1
bumblebee 3.2.1-22
bzip2 1.0.8-3
ccache 3.7.6-1
chromium 79.0.3945.88-1
clang 9.0.0-3
cmake 3.16.2-1
cmatrix 2.0-1
conky-lua 1.11.3-1
coreutils 8.31-3
cppcheck 1.90-1
cpupower 5.4-3
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.2.2-1.1
cups 2.3.1-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
cython 0.29.14-4
device-mapper 2.02.186-4
dhclient 4.4.1-4
dhcpcd 8.1.4-1
dialog 1:1.3_20191210-1
diffutils 3.7-3
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.80-4
docker 1:19.03.5-1
dolphin 19.12.0-1
dolphin-plugins 19.12.0-1
dosfstools 4.1-3
doxygen 1.8.16-2
e2fsprogs 1.45.4-2
ecryptfs-utils 111-3
efibootmgr 16-2
exfat-utils 1.3.0-1
extra-cmake-modules 5.65.0-2
f2fs-tools 1.13.0-1
fakeroot 1.24-2
fd 7.4.0-1
ffmpeg 1:4.2.1-4
ffmpegthumbs 19.12.0-1
file 5.37-5
filelight 19.12.0-1
filesystem 2019.10-4
findutils 4.7.0-2
firefox 72.0.1-0
flatpak 1.6.0-1
flex 2.6.4-3
freeoffice 2018.973-1
fwupd 1.3.5-1
fzf 0.20.0-1
gawk 5.0.1-2
gcc 9.2.0-4
gcc-libs 9.2.0-4
gettext 0.20.1-3
ghostscript 9.50-2
git 2.24.1-3
glibc 2.30-3
gnome-icon-theme 3.12.0-5
gnome-themes-extra 3.28-1
go 2:1.13.5-1
graphviz 2.42.3-1
grep 3.3-3
grub 2.04-9
grub-theme-manjaro 18.1-1
gsfonts 20180524-2
gst-libav 1.16.2-1
gst-plugins-bad 1.16.2-1
gst-plugins-base 1.16.2-1
gst-plugins-good 1.16.2-1
gst-plugins-ugly 1.16.2-1
gtk-theme-breath 5.9.0-1
gtk3 1:3.24.13-1
gvfs 1.42.2-1
gvfs-afc 1.42.2-1
gvfs-gphoto2 1.42.2-1
gvfs-mtp 1.42.2-1
gvfs-nfs 1.42.2-1
gvfs-smb 1.42.2-1
gwenview 19.12.0-1
gzip 1.10-3
haveged 1.9.8-1
help2man 1.47.11-1
hplip 1:3.19.12-1
htop 2.2.0-2
illyria-wallpaper 1.4-1
imagewriter 1.10.1420800585.134a9b3-4
inetutils 1.9.4-8
intel-ucode 20191115-3
intellij-idea-ultimate-edition 2019.3.1-1
intellij-idea-ultimate-edition-jre 2019.3.1-1
inxi 3.0.37-1
iproute2 5.4.0-1
iptables 1:1.8.3-3
iputils 20190709-2
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
